Top 1   hits: 18.95
Top 2   hits: 25.98
Top 3   hits: 30.69
Top 4   hits: 34.24
Top 5   hits: 37.04
Top 6   hits: 39.28
Top 7   hits: 41.19
Top 8   hits: 43.24
Top 9   hits: 44.52
Top 10  hits: 45.98
Top 11  hits: 47.20
Top 12  hits: 48.23
Top 13  hits: 49.17
Top 14  hits: 50.11
Top 15  hits: 50.86
Top 16  hits: 51.72
Top 17  hits: 52.66
Top 18  hits: 53.49
Top 19  hits: 54.16
Top 20  hits: 54.71
Top 21  hits: 55.32
Top 22  hits: 55.62
Top 23  hits: 56.07
Top 24  hits: 56.45
Top 25  hits: 56.95
Top 26  hits: 57.31
Top 27  hits: 57.62
Top 28  hits: 58.12
Top 29  hits: 58.42
Top 30  hits: 58.78
Top 31  hits: 59.06
Top 32  hits: 59.34
Top 33  hits: 59.61
Top 34  hits: 59.97
Top 35  hits: 60.39
Top 36  hits: 60.50
Top 37  hits: 60.72
Top 38  hits: 61.14
Top 39  hits: 61.39
Top 40  hits: 61.58
Top 41  hits: 61.75
Top 42  hits: 61.88
Top 43  hits: 62.11
Top 44  hits: 62.33
Top 45  hits: 62.52
Top 46  hits: 62.80
Top 47  hits: 63.16
Top 48  hits: 63.30
Top 49  hits: 63.41
Top 50  hits: 63.57
Top 51  hits: 63.71
Top 52  hits: 63.80
Top 53  hits: 63.99
Top 54  hits: 64.35
Top 55  hits: 64.52
Top 56  hits: 64.65
Top 57  hits: 64.93
Top 58  hits: 65.07
Top 59  hits: 65.15
Top 60  hits: 65.26
Top 61  hits: 65.37
Top 62  hits: 65.54
Top 63  hits: 65.65
Top 64  hits: 65.76
Top 65  hits: 65.93
Top 66  hits: 66.07
Top 67  hits: 66.15
Top 68  hits: 66.32
Top 69  hits: 66.48
Top 70  hits: 66.54
Top 71  hits: 66.73
Top 72  hits: 66.84
Top 73  hits: 67.01
Top 74  hits: 67.12
Top 75  hits: 67.31
Top 76  hits: 67.40
Top 77  hits: 67.53
Top 78  hits: 67.62
Top 79  hits: 67.73
Top 80  hits: 67.89
Top 81  hits: 67.92
Top 82  hits: 68.12
Top 83  hits: 68.23
Top 84  hits: 68.31
Top 85  hits: 68.37
Top 86  hits: 68.39
Top 87  hits: 68.48
Top 88  hits: 68.56
Top 89  hits: 68.61
Top 90  hits: 68.73
Top 91  hits: 68.75
Top 92  hits: 68.86
Top 93  hits: 68.95
Top 94  hits: 69.09
Top 95  hits: 69.20
Top 96  hits: 69.34
Top 97  hits: 69.42
Top 98  hits: 69.42
Top 99  hits: 69.50
Top 100 hits: 69.53
