Top 1   hits: 39.78
Top 2   hits: 49.92
Top 3   hits: 55.48
Top 4   hits: 59.75
Top 5   hits: 62.58
Top 6   hits: 64.13
Top 7   hits: 66.15
Top 8   hits: 67.37
Top 9   hits: 68.64
Top 10  hits: 69.78
Top 11  hits: 71.00
Top 12  hits: 72.24
Top 13  hits: 73.07
Top 14  hits: 73.66
Top 15  hits: 74.35
Top 16  hits: 74.90
Top 17  hits: 75.29
Top 18  hits: 75.90
Top 19  hits: 76.54
Top 20  hits: 76.90
Top 21  hits: 77.23
Top 22  hits: 77.70
Top 23  hits: 77.95
Top 24  hits: 78.20
Top 25  hits: 78.56
Top 26  hits: 78.89
Top 27  hits: 79.03
Top 28  hits: 79.28
Top 29  hits: 79.50
Top 30  hits: 79.78
Top 31  hits: 80.03
Top 32  hits: 80.22
Top 33  hits: 80.39
Top 34  hits: 80.61
Top 35  hits: 80.86
Top 36  hits: 81.14
Top 37  hits: 81.41
Top 38  hits: 81.47
Top 39  hits: 81.72
Top 40  hits: 81.88
Top 41  hits: 81.97
Top 42  hits: 82.13
Top 43  hits: 82.27
Top 44  hits: 82.41
Top 45  hits: 82.58
Top 46  hits: 82.77
Top 47  hits: 82.96
Top 48  hits: 83.10
Top 49  hits: 83.13
Top 50  hits: 83.32
Top 51  hits: 83.46
Top 52  hits: 83.55
Top 53  hits: 83.60
Top 54  hits: 83.85
Top 55  hits: 83.96
Top 56  hits: 84.13
Top 57  hits: 84.21
Top 58  hits: 84.38
Top 59  hits: 84.52
Top 60  hits: 84.63
Top 61  hits: 84.68
Top 62  hits: 84.74
Top 63  hits: 84.79
Top 64  hits: 84.88
Top 65  hits: 84.93
Top 66  hits: 85.04
Top 67  hits: 85.07
Top 68  hits: 85.15
Top 69  hits: 85.21
Top 70  hits: 85.26
Top 71  hits: 85.37
Top 72  hits: 85.37
Top 73  hits: 85.43
Top 74  hits: 85.48
Top 75  hits: 85.54
Top 76  hits: 85.57
Top 77  hits: 85.65
Top 78  hits: 85.68
Top 79  hits: 85.71
Top 80  hits: 85.90
Top 81  hits: 85.93
Top 82  hits: 86.01
Top 83  hits: 86.01
Top 84  hits: 86.12
Top 85  hits: 86.18
Top 86  hits: 86.26
Top 87  hits: 86.26
Top 88  hits: 86.34
Top 89  hits: 86.37
Top 90  hits: 86.40
Top 91  hits: 86.48
Top 92  hits: 86.57
Top 93  hits: 86.68
Top 94  hits: 86.68
Top 95  hits: 86.81
Top 96  hits: 86.87
Top 97  hits: 86.95
Top 98  hits: 86.95
Top 99  hits: 86.95
Top 100 hits: 87.01
