Top 1   hits: 34.99
Top 2   hits: 47.17
Top 3   hits: 54.04
Top 4   hits: 59.03
Top 5   hits: 63.35
Top 6   hits: 66.70
Top 7   hits: 69.22
Top 8   hits: 70.89
Top 9   hits: 72.88
Top 10  hits: 74.21
Top 11  hits: 75.43
Top 12  hits: 76.45
Top 13  hits: 77.40
Top 14  hits: 78.23
Top 15  hits: 79.20
Top 16  hits: 80.08
Top 17  hits: 80.69
Top 18  hits: 81.27
Top 19  hits: 81.88
Top 20  hits: 82.47
Top 21  hits: 82.91
Top 22  hits: 83.24
Top 23  hits: 83.63
Top 24  hits: 84.18
Top 25  hits: 84.63
Top 26  hits: 84.79
Top 27  hits: 85.07
Top 28  hits: 85.32
Top 29  hits: 85.54
Top 30  hits: 85.93
Top 31  hits: 86.01
Top 32  hits: 86.40
Top 33  hits: 86.54
Top 34  hits: 86.65
Top 35  hits: 86.98
Top 36  hits: 87.23
Top 37  hits: 87.40
Top 38  hits: 87.56
Top 39  hits: 87.78
Top 40  hits: 87.98
Top 41  hits: 88.17
Top 42  hits: 88.28
Top 43  hits: 88.53
Top 44  hits: 88.70
Top 45  hits: 88.78
Top 46  hits: 88.98
Top 47  hits: 89.09
Top 48  hits: 89.28
Top 49  hits: 89.36
Top 50  hits: 89.42
Top 51  hits: 89.56
Top 52  hits: 89.70
Top 53  hits: 89.72
Top 54  hits: 89.75
Top 55  hits: 89.83
Top 56  hits: 89.92
Top 57  hits: 89.94
Top 58  hits: 90.00
Top 59  hits: 90.08
Top 60  hits: 90.17
Top 61  hits: 90.28
Top 62  hits: 90.39
Top 63  hits: 90.53
Top 64  hits: 90.55
Top 65  hits: 90.69
Top 66  hits: 90.69
Top 67  hits: 90.83
Top 68  hits: 90.86
Top 69  hits: 90.94
Top 70  hits: 91.02
Top 71  hits: 91.02
Top 72  hits: 91.08
Top 73  hits: 91.11
Top 74  hits: 91.14
Top 75  hits: 91.16
Top 76  hits: 91.19
Top 77  hits: 91.25
Top 78  hits: 91.27
Top 79  hits: 91.27
Top 80  hits: 91.36
Top 81  hits: 91.41
Top 82  hits: 91.44
Top 83  hits: 91.47
Top 84  hits: 91.50
Top 85  hits: 91.52
Top 86  hits: 91.52
Top 87  hits: 91.55
Top 88  hits: 91.66
Top 89  hits: 91.72
Top 90  hits: 91.77
Top 91  hits: 91.83
Top 92  hits: 91.86
Top 93  hits: 91.86
Top 94  hits: 91.91
Top 95  hits: 91.94
Top 96  hits: 91.97
Top 97  hits: 91.99
Top 98  hits: 91.99
Top 99  hits: 92.05
Top 100 hits: 92.11
