Top 1   hits: 38.89
Top 2   hits: 50.08
Top 3   hits: 56.07
Top 4   hits: 60.47
Top 5   hits: 63.85
Top 6   hits: 66.20
Top 7   hits: 68.31
Top 8   hits: 70.25
Top 9   hits: 71.91
Top 10  hits: 73.30
Top 11  hits: 74.18
Top 12  hits: 75.37
Top 13  hits: 76.26
Top 14  hits: 77.04
Top 15  hits: 77.78
Top 16  hits: 78.17
Top 17  hits: 78.56
Top 18  hits: 79.09
Top 19  hits: 79.58
Top 20  hits: 80.17
Top 21  hits: 80.58
Top 22  hits: 81.00
Top 23  hits: 81.44
Top 24  hits: 81.94
Top 25  hits: 82.33
Top 26  hits: 82.69
Top 27  hits: 82.88
Top 28  hits: 83.21
Top 29  hits: 83.63
Top 30  hits: 83.91
Top 31  hits: 84.16
Top 32  hits: 84.46
Top 33  hits: 84.57
Top 34  hits: 84.79
Top 35  hits: 84.96
Top 36  hits: 85.15
Top 37  hits: 85.35
Top 38  hits: 85.51
Top 39  hits: 85.62
Top 40  hits: 85.90
Top 41  hits: 86.09
Top 42  hits: 86.20
Top 43  hits: 86.32
Top 44  hits: 86.65
Top 45  hits: 86.81
Top 46  hits: 87.01
Top 47  hits: 87.12
Top 48  hits: 87.26
Top 49  hits: 87.29
Top 50  hits: 87.34
Top 51  hits: 87.42
Top 52  hits: 87.45
Top 53  hits: 87.51
Top 54  hits: 87.56
Top 55  hits: 87.70
Top 56  hits: 87.78
Top 57  hits: 87.89
Top 58  hits: 88.12
Top 59  hits: 88.20
Top 60  hits: 88.25
Top 61  hits: 88.34
Top 62  hits: 88.39
Top 63  hits: 88.48
Top 64  hits: 88.64
Top 65  hits: 88.64
Top 66  hits: 88.73
Top 67  hits: 88.78
Top 68  hits: 88.81
Top 69  hits: 89.09
Top 70  hits: 89.22
Top 71  hits: 89.36
Top 72  hits: 89.42
Top 73  hits: 89.47
Top 74  hits: 89.56
Top 75  hits: 89.61
Top 76  hits: 89.61
Top 77  hits: 89.70
Top 78  hits: 89.78
Top 79  hits: 89.81
Top 80  hits: 89.89
Top 81  hits: 90.00
Top 82  hits: 90.03
Top 83  hits: 90.06
Top 84  hits: 90.08
Top 85  hits: 90.14
Top 86  hits: 90.22
Top 87  hits: 90.25
Top 88  hits: 90.28
Top 89  hits: 90.39
Top 90  hits: 90.42
Top 91  hits: 90.42
Top 92  hits: 90.44
Top 93  hits: 90.50
Top 94  hits: 90.55
Top 95  hits: 90.64
Top 96  hits: 90.66
Top 97  hits: 90.72
Top 98  hits: 90.80
Top 99  hits: 90.83
Top 100 hits: 90.83
