Top 1   hits: 30.66
Top 2   hits: 42.35
Top 3   hits: 49.11
Top 4   hits: 53.99
Top 5   hits: 58.31
Top 6   hits: 61.16
Top 7   hits: 63.49
Top 8   hits: 65.62
Top 9   hits: 67.17
Top 10  hits: 68.45
Top 11  hits: 69.34
Top 12  hits: 70.47
Top 13  hits: 71.58
Top 14  hits: 72.41
Top 15  hits: 73.38
Top 16  hits: 74.38
Top 17  hits: 75.18
Top 18  hits: 75.79
Top 19  hits: 76.15
Top 20  hits: 76.57
Top 21  hits: 77.09
Top 22  hits: 77.37
Top 23  hits: 77.87
Top 24  hits: 78.39
Top 25  hits: 78.70
Top 26  hits: 79.03
Top 27  hits: 79.36
Top 28  hits: 79.75
Top 29  hits: 80.28
Top 30  hits: 80.66
Top 31  hits: 80.86
Top 32  hits: 81.00
Top 33  hits: 81.33
Top 34  hits: 81.39
Top 35  hits: 81.55
Top 36  hits: 81.75
Top 37  hits: 81.94
Top 38  hits: 82.05
Top 39  hits: 82.27
Top 40  hits: 82.60
Top 41  hits: 82.85
Top 42  hits: 83.21
Top 43  hits: 83.43
Top 44  hits: 83.68
Top 45  hits: 83.91
Top 46  hits: 84.04
Top 47  hits: 84.13
Top 48  hits: 84.24
Top 49  hits: 84.35
Top 50  hits: 84.60
Top 51  hits: 84.71
Top 52  hits: 84.76
Top 53  hits: 84.90
Top 54  hits: 85.12
Top 55  hits: 85.26
Top 56  hits: 85.43
Top 57  hits: 85.60
Top 58  hits: 85.73
Top 59  hits: 85.76
Top 60  hits: 85.93
Top 61  hits: 86.04
Top 62  hits: 86.09
Top 63  hits: 86.18
Top 64  hits: 86.26
Top 65  hits: 86.29
Top 66  hits: 86.34
Top 67  hits: 86.43
Top 68  hits: 86.57
Top 69  hits: 86.65
Top 70  hits: 86.76
Top 71  hits: 86.98
Top 72  hits: 87.15
Top 73  hits: 87.20
Top 74  hits: 87.29
Top 75  hits: 87.48
Top 76  hits: 87.53
Top 77  hits: 87.56
Top 78  hits: 87.65
Top 79  hits: 87.65
Top 80  hits: 87.76
Top 81  hits: 87.78
Top 82  hits: 87.78
Top 83  hits: 87.87
Top 84  hits: 87.92
Top 85  hits: 88.01
Top 86  hits: 88.06
Top 87  hits: 88.09
Top 88  hits: 88.14
Top 89  hits: 88.25
Top 90  hits: 88.42
Top 91  hits: 88.45
Top 92  hits: 88.59
Top 93  hits: 88.61
Top 94  hits: 88.70
Top 95  hits: 88.81
Top 96  hits: 88.84
Top 97  hits: 88.86
Top 98  hits: 88.89
Top 99  hits: 88.95
Top 100 hits: 89.00
